address,area,city,company,date,salary_max,salary_min,salery,title,province
武汉-黄陂区,黄陂区,武汉,武汉中飞扬测控工程有限公司,06-19,8000.0,6000.0,6-8千/月,嵌入式硬件工程师（双休）,湖北
成都-高新区,高新区,成都,钛深科技（深圳）有限公司,06-19,15000.0,8000.0,0.8-1.5万/月,嵌入式硬件工程师,四川
上海-闵行区,闵行区,上海,上海智显光电科技有限公司,06-19,12500.0,8333.0,10-15万/年,嵌入式硬件工程师,上海
南京-鼓楼区,鼓楼区,南京,南京协澳智能控制系统有限公司,06-19,30000.0,20000.0,2-3万/月,嵌入式硬件工程师,江苏
徐州,NA,徐州,江苏费尔曼安全科技有限公司,06-19,8000.0,6000.0,6-8千/月,嵌入式硬件工程师（鸿鹄安全公司）,江苏
广州-番禺区,番禺区,广州,蘑菇物联技术（深圳）有限公司,06-19,18000.0,12000.0,1.2-1.8万/月,嵌入式硬件工程师（控制器）,广东
成都-龙泉驿区,龙泉驿区,成都,四川泰和安消防科技有限公司,06-19,8000.0,6000.0,6-8千/月,嵌入式硬件工程师,四川
深圳-宝安区,宝安区,深圳,深圳市君派伟业有限公司,06-19,25000.0,10000.0,1-2.5万/月,嵌入式硬件工程师,广东
上海-闵行区,闵行区,上海,上海熠速信息技术有限公司,06-19,30000.0,12000.0,1.2-3万/月,嵌入式硬件工程师,上海
无锡-无锡新区,无锡新区,无锡,无锡江水智能仪表有限公司,06-19,15000.0,10000.0,1-1.5万/月,嵌入式硬件工程师,江苏
北京-大兴区,大兴区,北京,宁波胤瑞生物医学仪器有限责任公司...,06-19,16000.0,12000.0,1.2-1.6万/月,嵌入式硬件工程师,北京
广州-番禺区,番禺区,广州,广州奔想智能科技有限公司,06-19,8000.0,6000.0,6-8千/月,嵌入式硬件工程师,广东
杭州-余杭区,余杭区,杭州,杭州胖嘟嘟医疗用品有限公司,06-19,15000.0,10000.0,1-1.5万/月,嵌入式硬件工程师,浙江
