address,area,city,company,date,salary_max,salary_min,salery,title,province
上海,NA,上海,DeNA,06-19,15000.0,10000.0,1-1.5万/月,go服务器开发,上海
深圳,NA,深圳,凯睿管理咨询（广州）有限公司,06-19,66666.0,41666.0,50-80万/年,Go语言高级架构师,广东
北京-海淀区,海淀区,北京,北京数猎天下科技有限公司,06-19,18000.0,12000.0,1.2-1.8万/月,GO开发工程师,北京
昆明-西山区,西山区,昆明,云南升玥信息技术有限公司,06-19,10000.0,5000.0,0.5-1万/月,GO 后端工程师,云南
上海-浦东新区,浦东新区,上海,蝴蝶互动（上海）信息技术有限公司...,06-19,25000.0,15000.0,1.5-2.5万/月,GO服务器开发,上海
武汉-东湖新技...,东湖新技...,武汉,北京思拓合众科技有限公司武汉分公...,06-19,12000.0,7000.0,0.7-1.2万/月,Go 工程师,湖北
上海-浦东新区,浦东新区,上海,上海良砥企业管理有限公司,06-19,45000.0,30000.0,3-4.5万/月,资深游戏服务器（C++，go）,上海
重庆-渝北区,渝北区,重庆,重庆领鑫安科技有限公司,06-19,10000.0,5000.0,0.5-1万/月,GO开发工程师,重庆
南京-鼓楼区,鼓楼区,南京,江苏汇运晶达信息科技有限公司,06-19,12000.0,7000.0,0.7-1.2万/月,GO开发工程师,江苏
广州-天河区,天河区,广州,广州游佐网络科技有限公司,06-19,25000.0,14000.0,1.4-2.5万/月,高级Go开发工程师,广东
昆明,NA,昆明,云南省人才服务中心,06-19,15000.0,10000.0,1-1.5万/月,高级开发工程师（PHP/PYTHON/GO方向）,云南
北京-朝阳区,朝阳区,北京,美团点评,06-19,40000.0,30000.0,3-4万/月,研发平台-Go高级工程师/技术专家,北京
上海-徐汇区,徐汇区,上海,上海汇爵科技有限公司,06-19,24000.0,15000.0,1.5-2.4万/月,Go后台开发工程师,上海
北京-海淀区,海淀区,北京,傲林科技有限公司,06-19,50000.0,30000.0,3-5万/月,架构师（C++ / Go）,北京
深圳-福田区,福田区,深圳,天津易商数科科技股份有限公司,06-19,15000.0,10000.0,1-1.5万/月,GO开发工程师,广东
深圳-南山区,南山区,深圳,深圳市华橙数字科技有限公司,06-19,12000.0,8000.0,0.8-1.2万/月,GO开发工程师,广东
深圳-南山区,南山区,深圳,深圳市金蝶天燕云计算股份有限公司...,06-19,20000.0,15000.0,1.5-2万/月,GO开发工程师,广东
广州-海珠区,海珠区,广州,广州汇通国信科技有限公司,06-19,18000.0,12000.0,1.2-1.8万/月,GO,广东
深圳-南山区,南山区,深圳,深圳得程数据科技有限公司,06-19,21000.0,13000.0,1.3-2.1万/月,容器云平台研发师（Java/go）,广东
上海,NA,上海,上海吉贝克信息技术有限公司,06-19,20000.0,10000.0,1-2万/月,C++开发工程师（GO语言开发）,上海
苏州,NA,苏州,苏州新导智能科技有限公司,06-19,15000.0,10000.0,1-1.5万/月,go语言研发工程师,江苏
上海-徐汇区,徐汇区,上海,上海德拓信息技术股份有限公司,06-19,22000.0,13000.0,1.3-2.2万/月,GO开发工程师,上海
上海,NA,上海,上海麦杰科技股份有限公司,06-19,14000.0,10000.0,1-1.4万/月,GO中级开发工程师,上海
深圳-龙华新区,龙华新区,深圳,深圳源中瑞科技有限公司,06-19,7000.0,4000.0,4-7千/月,GO初级工程师,广东
上海-浦东新区,浦东新区,上海,万宝瑞华人才管理咨询（上海）有限...,06-19,20000.0,10000.0,1-2万/月,全球一线上市医药研发公司 Go语言开发工程师,上海
南宁,NA,南宁,北京信路威科技股份有限公司,06-19,15000.0,10000.0,1-1.5万/月,高级JAVA工程师（GO语言方向）,广西
上海-黄浦区,黄浦区,上海,上海国企商务会展服务有限公司,06-19,12500.0,10000.0,12-15万/年,软件开发工程师（GO语言开发）,上海
上海-静安区,静安区,上海,国动网络技术有限公司,06-19,25000.0,15000.0,1.5-2.5万/月,软件开发工程师（GO/Lua/python）,上海
上海-浦东新区,浦东新区,上海,上海易编学教育科技有限公司,06-19,18000.0,12000.0,1.2-1.8万/月,GO开发工程师,上海
成都-高新区,高新区,成都,成都高新减灾研究所,06-19,25000.0,12000.0,1.2-2.5万/月,GO语言研发工程师,四川
上海-浦东新区,浦东新区,上海,上海新炬网络信息技术股份有限公司...,06-19,20000.0,15000.0,1.5-2万/月,GO开发工程师,上海
成都,NA,成都,成都市美幻科技有限公司,06-19,25000.0,12000.0,1.2-2.5万/月,GO语言研发工程师,四川
杭州-余杭区,余杭区,杭州,杭州野乐科技有限公司,06-19,15000.0,6000.0,0.6-1.5万/月,GO开发工程师,浙江
苏州,NA,苏州,华信富融(苏州工业园区)软件有限公...,06-19,16000.0,8000.0,0.8-1.6万/月,GO开发工程师,江苏
成都,NA,成都,四川链家房地产经纪有限公司,06-19,11000.0,5000.0,0.5-1.1万/月,GO FOR IT链家销售代表/应届实习/经纪人 LS,四川
成都-锦江区,锦江区,成都,平安科技（深圳）有限公司,06-19,20000.0,15000.0,1.5-2万/月,1131BE-云存储GO开发工程师,四川
无锡-滨湖区,滨湖区,无锡,无锡九方科技有限公司,06-19,18000.0,10000.0,1-1.8万/月,Go语言开发工程师,江苏
成都-温江区,温江区,成都,四川链家房地产经纪有限公司,06-19,8000.0,6000.0,6-8千/月,"Lets,go   销售代表\门店专员\就近5500 st",四川
上海-闵行区,闵行区,上海,厦门呱牛网络科技有限公司,06-19,15000.0,8000.0,0.8-1.5万/月,GO开发工程师,上海
深圳-南山区,南山区,深圳,深圳市希科普股份有限公司,06-19,20000.0,10000.0,1-2万/月,go语言软件开发工程师,广东
上海-浦东新区,浦东新区,上海,上海有大信息科技有限公司,06-19,20000.0,15000.0,1.5-2万/月,GO开发工程师,上海
北京-海淀区,海淀区,北京,北京万步健康科技有限公司,06-19,20000.0,10000.0,1-2万/月,GO开发工程师,北京
北京-海淀区,海淀区,北京,北京安德信业信息咨询有限责任公司...,06-18,60000.0,40000.0,4-6万/月,C++/GO架构师,北京
深圳,NA,深圳,字节跳动,06-18,40000.0,20000.0,2-4万/月,Go语言开发工程师-飞书,广东
珠海-珠海高新...,珠海高新...,珠海,珠海沙盒网络科技有限公司,06-18,30000.0,20000.0,2-3万/月,高级go开发工程师,广东
深圳-南山区,南山区,深圳,深圳市易博天下科技有限公司,06-19,22000.0,14000.0,1.4-2.2万/月,Golang开发工程师,广东
北京-海淀区,海淀区,北京,新浪微博,06-19,25000.0,15000.0,1.5-2.5万/月,04885-Golang服务端开发工程师,北京
广州-越秀区,越秀区,广州,广州反斗文化传播有限公司,06-19,12000.0,9000.0,0.9-1.2万/月,golang开发工程师,广东
上海-黄浦区,黄浦区,上海,高升科技有限公司,06-19,25000.0,15000.0,1.5-2.5万/月,golang开发工程师,上海
北京-朝阳区,朝阳区,北京,人民网股份有限公司,06-19,22000.0,12000.0,1.2-2.2万/月,golang工程师,北京
广州-天河区,天河区,广州,广州极飞科技有限公司,06-18,18000.0,13000.0,1.3-1.8万/月,golang开发工程师,广东
德州,NA,德州,山东万正网络科技有限公司,06-18,10000.0,8000.0,0.8-1万/月,GOlang开发工程师,山东
广州-番禺区,番禺区,广州,广州远大信息发展有限公司,06-18,12000.0,6000.0,0.6-1.2万/月,Golang开发工程师,广东
广州-天河区,天河区,广州,广州艺诺互娱科技有限公司,06-18,30000.0,15000.0,1.5-3万/月,Golang后台开发工程师,广东
上海,NA,上海,浙江云诺通信科技有限公司,06-18,18000.0,13000.0,1.3-1.8万/月,golang研发工程师,上海
深圳-南山区,南山区,深圳,中软国际科技服务有限公司,06-18,20000.0,13000.0,1.3-2万/月,golang开发工程师,广东
成都-金牛区,金牛区,成都,竞技世界（成都）网络技术有限公司...,06-18,25000.0,15000.0,1.5-2.5万/月,golang服务器工程师（TX-PS01）,四川
广州-天河区,天河区,广州,广州创优新品科技有限公司,06-18,25000.0,20000.0,2-2.5万/月,golang开发工程师,广东
深圳,NA,深圳,华平信息技术股份有限公司,06-18,20000.0,10000.0,1-2万/月,golang工程师,广东
广州-增城区,增城区,广州,广州市运生信息科技有限公司,06-18,20000.0,10000.0,1-2万/月,GOLAND工程师,广东
成都-高新区,高新区,成都,四川智能视讯信息技术有限公司,06-18,15000.0,8000.0,0.8-1.5万/月,Golang开发工程师,四川
上海-闵行区,闵行区,上海,上海零与壹软件有限公司,06-18,20000.0,8000.0,0.8-2万/月,Golang工程师,上海
广州,NA,广州,广州银月互娱网络科技有限公司,06-18,20000.0,10000.0,1-2万/月,Golang服务器开发,广东
