address,area,city,company,date,salary_max,salary_min,salery,title,province
长沙,NA,长沙,三一重工重起事业部,06-19,25000.0,10000.0,1-2.5万/月,Java开发工程师,湖南
上海-松江区,松江区,上海,源氏木语家具集团,06-19,20000.0,10000.0,1-2万/月,研发工程师（java）,上海
深圳-南山区,南山区,深圳,深圳车友援信息技术有限公司,06-19,30000.0,15000.0,1.5-3万/月,Java高级开发工程师,广东
郑州-郑东新区,郑东新区,郑州,河南云之谷信息科技有限公司,06-19,10000.0,8000.0,0.8-1万/月,高级java开发工程师,河南
杭州-拱墅区,拱墅区,杭州,杭州尤普软件有限公司,06-19,25000.0,20000.0,2-2.5万/月,Java高级开发工程师,浙江
南京,NA,南京,南京柯普瑞信息技术有限公司,06-19,6000.0,4500.0,4.5-6千/月,初级Java开发工程师/Java实习生,江苏
东莞-莞城区,莞城区,东莞,东莞市龙信数码科技有限公司,06-19,10000.0,8000.0,0.8-1万/月,技术部    Java软件开发工程师,广东
合肥,NA,合肥,安徽瑞信软件有限公司,06-19,15000.0,9000.0,0.9-1.5万/月,JAVA开发工程师/软件开发工程师（合肥）,安徽
深圳-宝安区,宝安区,深圳,深圳市有豆科技有限公司,06-19,30000.0,18000.0,1.8-3万/月,Java开发工程师,广东
邯郸,NA,邯郸,北京紫光数智科技股份有限公司,06-19,8000.0,6000.0,6-8千/月,软件开发工程师（Java开发、前端开发、微服务、大数据开发）（邯郸）,河北
北京,NA,北京,北京大米未来科技有限公司,06-19,30000.0,25000.0,2.5-3万/月,Java开发,北京
成都-武侯区,武侯区,成都,哈尔滨鳌成商贸有限公司,06-19,4500.0,3000.0,3-4.5千/月,Java开发实习生,四川
深圳-福田区,福田区,深圳,奈雪的茶,06-19,40000.0,30000.0,3-4万/月,Java架构师,广东
广州-天河区,天河区,广州,广东三维家信息科技有限公司,06-19,20000.0,12000.0,1.2-2万/月,高级Java开发/架构师（主管）,广东
杭州-西湖区,西湖区,杭州,杭州边锋网络技术有限公司,06-19,25000.0,18000.0,1.8-2.5万/月,java高级开发工程师(游戏),浙江
大连,NA,大连,奥镁（大连）有限公司,06-19,10000.0,8000.0,0.8-1万/月,Java初级开发工程师,辽宁
深圳-南山区,南山区,深圳,中软国际科技服务有限公司,06-19,20000.0,15000.0,1.5-2万/月,高级Java开发,广东
南京-鼓楼区,鼓楼区,南京,诚迈科技（南京）股份有限公司,06-19,20000.0,15000.0,1.5-2万/月,Java高级开发工程师,江苏
珠海,NA,珠海,珠海市金蝶软件有限公司,06-19,15000.0,10000.0,1-1.5万/月,Java开发工程师,广东
广州-天河区,天河区,广州,广州比众信息科技有限公司,06-19,12000.0,8000.0,0.8-1.2万/月,Java开发工程师,广东
合肥,NA,合肥,合肥市华软科技有限公司,06-19,12000.0,7000.0,0.7-1.2万/月,中级Java开发工程师,安徽
