address,area,city,company,date,salary_max,salary_min,salery,title,province
泰安,NA,泰安,深圳市安车检测股份有限公司,06-19,12000.0,6000.0,0.6-1.2万/月,嵌入式Linux开发工程师,山东
深圳-南山区,南山区,深圳,深圳市天双科技有限公司,06-19,15000.0,10000.0,1-1.5万/月,Linux软件工程师,广东
长沙-岳麓区,岳麓区,长沙,湖南麒麟信安科技有限公司,06-19,15000.0,8000.0,0.8-1.5万/月,Linux前后端开发工程师,湖南
北京-海淀区,海淀区,北京,国和瑞斯（北京）科技有限公司,06-19,10000.0,8000.0,0.8-1万/月,linux系统工程师,北京
无锡-滨湖区,滨湖区,无锡,无锡先进技术研究院,06-19,20833.0,16666.0,20-25万/年,Linux设备驱动开发工程师,江苏
茂名,NA,茂名,深圳市壹平台信息技术有限公司,06-19,7000.0,3500.0,3.5-7千/月,Linux运维工程师,广东
南京,NA,南京,南京柯普瑞信息技术有限公司,06-19,6000.0,4500.0,4.5-6千/月,Linux运维工程师,江苏
深圳-宝安区,宝安区,深圳,深圳市高斯贝尔家居智能电子有限公...,06-19,15000.0,10000.0,1-1.5万/月,Linux运维工程师,广东
北京,NA,北京,北京瑞星网安技术股份有限公司,06-19,15000.0,10000.0,1-1.5万/月,linux c++ 初级软件开发工程师,北京
成都-双流区,双流区,成都,成都讯维信息技术有限公司,06-19,16000.0,9000.0,0.9-1.6万/月,Linux高级工程师,四川
杭州,NA,杭州,宁波捷创技术股份有限公司,06-19,20833.0,15000.0,18-25万/年,linux系统软件工程师,浙江
广州-越秀区,越秀区,广州,广东鸿正软件技术有限公司,06-19,8000.0,4000.0,4-8千/月,Linux运维工程师,广东
合肥-高新区,高新区,合肥,安徽新锐激光科技有限公司,06-19,15000.0,10000.0,1-1.5万/月,嵌入式linux工程师,安徽
长沙-岳麓区,岳麓区,长沙,北京星网船电科技有限公司湖南分公...,06-19,15000.0,10000.0,1-1.5万/月,Linux开发工程师,湖南
深圳-宝安区,宝安区,深圳,深圳市汉欣诺电子有限公司,06-19,30000.0,10000.0,1-3万/月,Linux 嵌入式工程师,广东
深圳,NA,深圳,森沛科技（深圳）有限公司,06-19,25000.0,5000.0,0.5-2.5万/月,Linux-软件工程师,广东
上海-长宁区,长宁区,上海,芯讯通无线科技（上海）有限公司,06-19,20000.0,8000.0,0.8-2万/月,Linux驱动工程师,上海
深圳,NA,深圳,深圳市海凌科电子有限公司,06-19,18000.0,8000.0,0.8-1.8万/月,Linux嵌入式工程师,广东
长沙,NA,长沙,华创云鼎科技（深圳）有限公司,06-19,15000.0,10000.0,1-1.5万/月,Linux系统工程师,湖南
武汉-洪山区,洪山区,武汉,武汉泰乐奇信息科技有限公司,06-19,10000.0,8000.0,0.8-1万/月,Linux运维工程师,湖北
武汉-洪山区,洪山区,武汉,武汉云外恒信息技术有限公司,06-19,15000.0,10000.0,1-1.5万/月,Linux运维工程师,湖北
深圳-龙华新区,龙华新区,深圳,深圳市锦弘霖电子设备有限公司,06-19,10000.0,8000.0,0.8-1万/月,C语言开发/linux上层应用开发,广东
