address,area,city,company,date,salary_max,salary_min,salery,title,province
广州,NA,广州,青木数字技术股份有限公司,06-19,8000.0,5000.0,5-8千/月,PHP开发工程师（2020届校园招聘）,广东
济南-槐荫区,槐荫区,济南,中盛业（山东）智能科技有限公司,06-19,12000.0,7000.0,0.7-1.2万/月,PHP开发工程师,山东
惠州,NA,惠州,惠州市一匠科技有限公司,06-19,15000.0,10000.0,1-1.5万/月,PHP高级开发工程师,广东
武汉-江汉区,江汉区,武汉,博看网,06-19,25000.0,15000.0,1.5-2.5万/月,PHP高级开发（15-25K汉口）,湖北
武汉-洪山区,洪山区,武汉,武汉泰乐奇信息科技有限公司,06-19,15000.0,10000.0,1-1.5万/月,PHP开发工程师,湖北
大连-中山区,中山区,大连,优职优聘（大连）网络科技有限公司...,06-19,6000.0,4500.0,4.5-6千/月,PHP开发工程师,辽宁
上海-长宁区,长宁区,上海,上海易念信息科技有限公司,06-19,20000.0,15000.0,1.5-2万/月,PHP开发工程师（高级）,上海
长沙-岳麓区,岳麓区,长沙,湖南细莫电子商贸有限公司,06-19,10000.0,8000.0,0.8-1万/月,php技术主管,湖南
东莞-长安镇,长安镇,东莞,武汉佰钧成技术有限责任公司,06-19,20000.0,15000.0,1.5-2万/月,PHP开发工程师,广东
广州,NA,广州,广东天图物流股份有限公司,06-19,8000.0,6000.0,6-8千/月,PHP工程师,广东
南昌-南昌县,南昌县,南昌,南昌光速科技有限公司,06-19,11000.0,6000.0,0.6-1.1万/月,PHP开发工程师（wed）,江西
重庆-渝北区,渝北区,重庆,记忆空间（重庆）文化传播有限公司...,06-19,15000.0,12000.0,1.2-1.5万/月,PHP高级开发工程师,重庆
广州-天河区,天河区,广州,广州市靓家居装饰材料有限公司,06-19,10000.0,8000.0,0.8-1万/月,PHP开发工程师,广东
深圳-龙华新区,龙华新区,深圳,深圳特鹏网络有限公司,06-19,18000.0,14000.0,1.4-1.8万/月,搜索算法工程师（PHP）,广东
深圳-南山区,南山区,深圳,深圳市力合微电子股份有限公司,06-19,20000.0,10000.0,1-2万/月,PHP开发工程师,广东
广州-天河区,天河区,广州,长盛信息科技有限公司,06-19,13000.0,8000.0,0.8-1.3万/月,PHP开发工程师,广东
广州-海珠区,海珠区,广州,广州慢慢来信息科技有限公司,06-19,8000.0,6000.0,6-8千/月,PHP开发工程师,广东
深圳-罗湖区,罗湖区,深圳,深圳市启创东方科技有限公司,06-19,4000.0,3000.0,3-4千/月,PHP开发实习生,广东
广州,NA,广州,广州慧亚传媒科技有限公司,06-19,35000.0,20000.0,2-3.5万/月,PHP技术总监/架构师,广东
