title,company,address,salery,date,salary_min,salary_max,provence,city,area
嵌入式硬件工程师（双休）,武汉中飞扬测控工程有限公司,武汉-黄陂区,6-8千/月,06-19,6000.0,8000.0,湖北省,武汉,黄陂区
嵌入式硬件工程师,钛深科技（深圳）有限公司,成都-高新区,0.8-1.5万/月,06-19,8000.0,15000.0,四川省,成都,高新区
嵌入式硬件工程师,上海智显光电科技有限公司,上海-闵行区,10-15万/年,06-19,8333.0,12500.0,上海市,上海,闵行区
嵌入式硬件工程师,南京协澳智能控制系统有限公司,南京-鼓楼区,2-3万/月,06-19,20000.0,30000.0,江苏省,南京,鼓楼区
嵌入式硬件工程师（鸿鹄安全公司）,江苏费尔曼安全科技有限公司,徐州,6-8千/月,06-19,6000.0,8000.0,江苏省,徐州,
嵌入式硬件工程师（控制器）,蘑菇物联技术（深圳）有限公司,广州-番禺区,1.2-1.8万/月,06-19,12000.0,18000.0,广东省,广州,番禺区
嵌入式硬件工程师,四川泰和安消防科技有限公司,成都-龙泉驿区,6-8千/月,06-19,6000.0,8000.0,四川省,成都,龙泉驿区
嵌入式硬件工程师,深圳市君派伟业有限公司,深圳-宝安区,1-2.5万/月,06-19,10000.0,25000.0,广东省,深圳,宝安区
嵌入式硬件工程师,上海熠速信息技术有限公司,上海-闵行区,1.2-3万/月,06-19,12000.0,30000.0,上海市,上海,闵行区
嵌入式硬件工程师,无锡江水智能仪表有限公司,无锡-无锡新区,1-1.5万/月,06-19,10000.0,15000.0,江苏省,无锡,无锡新区
嵌入式硬件工程师,宁波胤瑞生物医学仪器有限责任公司...,北京-大兴区,1.2-1.6万/月,06-19,12000.0,16000.0,北京市,北京,大兴区
嵌入式硬件工程师,广州奔想智能科技有限公司,广州-番禺区,6-8千/月,06-19,6000.0,8000.0,广东省,广州,番禺区
嵌入式硬件工程师,杭州胖嘟嘟医疗用品有限公司,杭州-余杭区,1-1.5万/月,06-19,10000.0,15000.0,浙江省,杭州,余杭区
嵌入式硬件工程师,深圳市肯綮科技有限公司,深圳-南山区,6-9千/月,06-19,6000.0,9000.0,广东省,深圳,南山区
嵌入式硬件工程师,武汉启佑生物医疗电子有限公司,武汉-洪山区,0.6-1.5万/月,06-19,6000.0,15000.0,湖北省,武汉,洪山区
嵌入式硬件工程师,上海箱箱物流科技有限公司,上海-徐汇区,1.5-2.5万/月,06-19,15000.0,25000.0,上海市,上海,徐汇区
嵌入式硬件工程师,华南智能机器人创新研究院,佛山-顺德区,1-2万/月,06-19,10000.0,20000.0,广东省,佛山,顺德区
高级嵌入式硬件工程师,广东畅视科技有限公司,广州-黄埔区,1.5-2万/月,06-19,15000.0,20000.0,广东省,广州,黄埔区
嵌入式硬件工程师,上海恪成实业有限公司,上海-松江区,1-1.5万/月,06-19,10000.0,15000.0,上海市,上海,松江区
嵌入式硬件工程师   急聘  GS,深圳市港晟电子有限公司,深圳-龙华新区,1.5-2万/月,06-19,15000.0,20000.0,广东省,深圳,龙华新区
嵌入式硬件工程师,南京威因特智能科技有限公司,南京-江宁区,1-1.5万/月,06-19,10000.0,15000.0,江苏省,南京,江宁区
嵌入式硬件工程师,深圳市天玖隆科技有限公司,深圳-宝安区,1-1.4万/月,06-19,10000.0,14000.0,广东省,深圳,宝安区
