title,company,address,salery,date,salary_min,salary_max,provence,city,area
嵌入式软件工程师（蓝牙）,广州博冠光电科技股份有限公司,广州,1-1.6万/月,06-19,10000.0,16000.0,广东省,广州,
嵌入式软件工程师（WG1tx）(J12049),北京东方国信科技股份有限公司,北京,2-4万/月,06-19,20000.0,40000.0,北京市,北京,
嵌入式软件工程师,上海英威腾工业技术有限公司,上海,1.5-3万/月,06-19,15000.0,30000.0,上海市,上海,
嵌入式软件工程师,合肥英威晟光电科技有限公司,合肥-高新区,1-1.5万/月,06-19,10000.0,15000.0,安徽省,合肥,高新区
嵌入式软件工程师,深圳市勤迈电子有限公司,深圳-龙华新区,1-1.5万/月,06-19,10000.0,15000.0,广东省,深圳,龙华新区
嵌入式软件工程师,深圳市安车检测股份有限公司,深圳-南山区,0.9-1.8万/月,06-19,9000.0,18000.0,广东省,深圳,南山区
嵌入式软件工程师,钛深科技（深圳）有限公司,成都-高新区,1-2万/月,06-19,10000.0,20000.0,四川省,成都,高新区
嵌入式软件工程师,上海德朗能新能源有限公司,上海-奉贤区,1-1.5万/月,06-19,10000.0,15000.0,上海市,上海,奉贤区
高级嵌入式软件工程师,江苏爱朋医疗科技股份有限公司,上海,1.2-2.6万/月,06-19,12000.0,26000.0,上海市,上海,
高级嵌入式软件工程师（zigbee）,上海璐柯宏(罗格朗)电子有限公司,上海-闵行区,1.5-3万/月,06-19,15000.0,30000.0,上海市,上海,闵行区
嵌入式软件工程师（电调驱动方向）,广东翻天科技有限公司,东莞-大朗镇,1.2-2.3万/月,06-19,12000.0,23000.0,广东省,东莞,大朗镇
嵌入式软件工程师,江苏天诚智能集团,成都-高新区,13.2-19.2万/年,06-19,11000.0,16000.0,四川省,成都,高新区
嵌入式软件工程师,深圳芯启航科技有限公司,深圳-南山区,1.6-2万/月,06-19,16000.0,20000.0,广东省,深圳,南山区
嵌入式软件工程师,江苏威尔曼科技有限公司上海分公司...,上海-闵行区,1.5-2万/月,06-19,15000.0,20000.0,上海市,上海,闵行区
嵌入式软件工程师,无锡先进技术研究院,无锡-滨湖区,15-20万/年,06-19,12500.0,16666.0,江苏省,无锡,滨湖区
SEN009 嵌入式软件工程师,宁波琻捷电子科技有限公司上海分公...,上海-浦东新区,15-30万/年,06-19,12500.0,25000.0,上海市,上海,浦东新区
嵌入式软件工程师,上海锦督智能科技有限公司,上海,1-1.5万/月,06-19,10000.0,15000.0,上海市,上海,
嵌入式软件工程师,江苏新视云科技股份有限公司,南京-雨花台区,2-3万/月,06-19,20000.0,30000.0,江苏省,南京,雨花台区
嵌入式软件工程师(实习生),金华市豪威电子科技有限公司,宁波-鄞州区,3.5-6千/月,06-19,3500.0,6000.0,浙江省,宁波,鄞州区
嵌入式软件工程师,深圳市卓联启航科技有限公司,深圳-宝安区,1.5-2万/月,06-19,15000.0,20000.0,广东省,深圳,宝安区
嵌入式软件工程师,滨江兄弟信息技术（杭州）有限公司...,杭州-滨江区,0.8-1.3万/月,06-19,8000.0,13000.0,浙江省,杭州,滨江区
嵌入式软件工程师,无锡市同芯恒通科技有限公司,无锡-滨湖区,1-1.5万/月,06-19,10000.0,15000.0,江苏省,无锡,滨湖区
嵌入式软件工程师,南京飞洋汽车电子有限责任公司,南京-江宁区,1-1.5万/月,06-19,10000.0,15000.0,江苏省,南京,江宁区
嵌入式软件工程师,苏州雅睿生物技术有限公司,苏州,0.8-1万/月,06-19,8000.0,10000.0,江苏省,苏州,
嵌入式软件工程师,深圳市智宝源电子科技有限公司,深圳-宝安区,1-1.5万/月,06-19,10000.0,15000.0,广东省,深圳,宝安区
嵌入式软件工程师（MCU）,深圳互由科技有限公司,深圳-南山区,1-1.5万/月,06-19,10000.0,15000.0,广东省,深圳,南山区
嵌入式软件工程师,山东华博电气有限公司,济南,0.8-1.5万/月,06-19,8000.0,15000.0,山东省,济南,
嵌入式软件工程师,西安佐威光电科技有限公司,西安-雁塔区,1-1.5万/月,06-19,10000.0,15000.0,陕西省,西安,雁塔区
嵌入式软件工程师,深圳市森威尔科技开发股份有限公司...,深圳-龙岗区,1-1.2万/月,06-19,10000.0,12000.0,广东省,深圳,龙岗区
嵌入式软件工程师,广州市康立明生物科技有限责任公司...,广州,1.2-1.7万/月,06-19,12000.0,17000.0,广东省,广州,
嵌入式软件工程师,珠海朗尔电气有限公司,珠海,0.8-1.2万/月,06-19,8000.0,12000.0,广东省,珠海,
嵌入式软件工程师,深圳市也扬科技有限公司,深圳-宝安区,15-20万/年,06-19,12500.0,16666.0,广东省,深圳,宝安区
嵌入式软件工程师,龙芯中科技术有限公司,北京,0.8-1万/月,06-19,8000.0,10000.0,北京市,北京,
嵌入式软件工程师（成都）,中科芯集成电路有限公司,成都-金牛区,15-40万/年,06-19,12500.0,33333.0,四川省,成都,金牛区
嵌入式软件工程师,图弘智能科技（上海）有限公司,上海-浦东新区,0.8-1.8万/月,06-19,8000.0,18000.0,上海市,上海,浦东新区
嵌入式软件工程师（蓝牙方向）,方洲照明（深圳）有限公司,深圳-宝安区,2-2.5万/月,06-19,20000.0,25000.0,广东省,深圳,宝安区
嵌入式软件工程师,天天充电,西安-莲湖区,0.8-1.5万/月,06-19,8000.0,15000.0,陕西省,西安,莲湖区
嵌入式软件工程师,广东万城万充电动车运营股份有限公...,广州-海珠区,2.5-3.1万/月,06-19,25000.0,31000.0,广东省,广州,海珠区
嵌入式软件工程师,成都大汇智安科技有限公司,成都-武侯区,1.4-1.8万/月,06-19,14000.0,18000.0,四川省,成都,武侯区
嵌入式软件工程师（Linux方向）,嘉控智能科技（上海）有限公司,上海-浦东新区,1.5-3万/月,06-19,15000.0,30000.0,上海市,上海,浦东新区
嵌入式软件工程师,上海天鹰医疗器械有限公司,上海,1.5-2万/月,06-19,15000.0,20000.0,上海市,上海,
嵌入式软件工程师,江苏中安智信通信科技股份有限公司...,南京-雨花台区,1.5-2.5万/月,06-19,15000.0,25000.0,江苏省,南京,雨花台区
嵌入式软件工程师,杭州诺生医疗科技有限公司,深圳-南山区,1-1.5万/月,06-19,10000.0,15000.0,广东省,深圳,南山区
嵌入式软件工程师,深圳新益昌科技股份有限公司,深圳-南山区,1.4-2.5万/月,06-19,14000.0,25000.0,广东省,深圳,南山区
嵌入式软件工程师,广州幻境科技有限公司,广州-越秀区,1.5-2万/月,06-19,15000.0,20000.0,广东省,广州,越秀区
嵌入式软件工程师,苏州苏信环境科技有限公司,苏州-工业园区,1-1.5万/月,06-19,10000.0,15000.0,江苏省,苏州,工业园区
嵌入式软件工程师,高新兴智联,天津-滨海新区,1-2万/月,06-19,10000.0,20000.0,天津市,天津,滨海新区
高级嵌入式软件工程师,北京的卢深视科技有限公司,杭州-西湖区,1.5-2.5万/月,06-19,15000.0,25000.0,浙江省,杭州,西湖区
嵌入式软件工程师,武汉友芝友医疗科技股份有限公司,武汉,0.8-1.5万/月,06-19,8000.0,15000.0,湖北省,武汉,
嵌入式软件工程师(ARM方向),深圳市杰美康机电有限公司,深圳-宝安区,0.5-1万/月,06-19,5000.0,10000.0,广东省,深圳,宝安区
