title,company,address,salery,date,salary_min,salary_max,provence,city,area
go服务器开发,DeNA,上海,1-1.5万/月,06-19,10000.0,15000.0,上海市,上海,
Go语言高级架构师,凯睿管理咨询（广州）有限公司,深圳,50-80万/年,06-19,41666.0,66666.0,广东省,深圳,
GO开发工程师,北京数猎天下科技有限公司,北京-海淀区,1.2-1.8万/月,06-19,12000.0,18000.0,北京市,北京,海淀区
GO 后端工程师,云南升玥信息技术有限公司,昆明-西山区,0.5-1万/月,06-19,5000.0,10000.0,云南省,昆明,西山区
GO服务器开发,蝴蝶互动（上海）信息技术有限公司...,上海-浦东新区,1.5-2.5万/月,06-19,15000.0,25000.0,上海市,上海,浦东新区
Go 工程师,北京思拓合众科技有限公司武汉分公...,武汉-东湖新技...,0.7-1.2万/月,06-19,7000.0,12000.0,湖北省,武汉,东湖新技...
资深游戏服务器（C++，go）,上海良砥企业管理有限公司,上海-浦东新区,3-4.5万/月,06-19,30000.0,45000.0,上海市,上海,浦东新区
GO开发工程师,重庆领鑫安科技有限公司,重庆-渝北区,0.5-1万/月,06-19,5000.0,10000.0,重庆市,重庆,渝北区
GO开发工程师,江苏汇运晶达信息科技有限公司,南京-鼓楼区,0.7-1.2万/月,06-19,7000.0,12000.0,江苏省,南京,鼓楼区
高级Go开发工程师,广州游佐网络科技有限公司,广州-天河区,1.4-2.5万/月,06-19,14000.0,25000.0,广东省,广州,天河区
高级开发工程师（PHP/PYTHON/GO方向）,云南省人才服务中心,昆明,1-1.5万/月,06-19,10000.0,15000.0,云南省,昆明,
研发平台-Go高级工程师/技术专家,美团点评,北京-朝阳区,3-4万/月,06-19,30000.0,40000.0,北京市,北京,朝阳区
Go后台开发工程师,上海汇爵科技有限公司,上海-徐汇区,1.5-2.4万/月,06-19,15000.0,24000.0,上海市,上海,徐汇区
架构师（C++ / Go）,傲林科技有限公司,北京-海淀区,3-5万/月,06-19,30000.0,50000.0,北京市,北京,海淀区
GO开发工程师,天津易商数科科技股份有限公司,深圳-福田区,1-1.5万/月,06-19,10000.0,15000.0,广东省,深圳,福田区
GO开发工程师,深圳市华橙数字科技有限公司,深圳-南山区,0.8-1.2万/月,06-19,8000.0,12000.0,广东省,深圳,南山区
GO开发工程师,深圳市金蝶天燕云计算股份有限公司...,深圳-南山区,1.5-2万/月,06-19,15000.0,20000.0,广东省,深圳,南山区
GO,广州汇通国信科技有限公司,广州-海珠区,1.2-1.8万/月,06-19,12000.0,18000.0,广东省,广州,海珠区
容器云平台研发师（Java/go）,深圳得程数据科技有限公司,深圳-南山区,1.3-2.1万/月,06-19,13000.0,21000.0,广东省,深圳,南山区
C++开发工程师（GO语言开发）,上海吉贝克信息技术有限公司,上海,1-2万/月,06-19,10000.0,20000.0,上海市,上海,
go语言研发工程师,苏州新导智能科技有限公司,苏州,1-1.5万/月,06-19,10000.0,15000.0,江苏省,苏州,
GO开发工程师,上海德拓信息技术股份有限公司,上海-徐汇区,1.3-2.2万/月,06-19,13000.0,22000.0,上海市,上海,徐汇区
GO中级开发工程师,上海麦杰科技股份有限公司,上海,1-1.4万/月,06-19,10000.0,14000.0,上海市,上海,
GO初级工程师,深圳源中瑞科技有限公司,深圳-龙华新区,4-7千/月,06-19,4000.0,7000.0,广东省,深圳,龙华新区
全球一线上市医药研发公司 Go语言开发工程师,万宝瑞华人才管理咨询（上海）有限...,上海-浦东新区,1-2万/月,06-19,10000.0,20000.0,上海市,上海,浦东新区
高级JAVA工程师（GO语言方向）,北京信路威科技股份有限公司,南宁,1-1.5万/月,06-19,10000.0,15000.0,广西壮族自治区,南宁,
软件开发工程师（GO语言开发）,上海国企商务会展服务有限公司,上海-黄浦区,12-15万/年,06-19,10000.0,12500.0,上海市,上海,黄浦区
软件开发工程师（GO/Lua/python）,国动网络技术有限公司,上海-静安区,1.5-2.5万/月,06-19,15000.0,25000.0,上海市,上海,静安区
GO开发工程师,上海易编学教育科技有限公司,上海-浦东新区,1.2-1.8万/月,06-19,12000.0,18000.0,上海市,上海,浦东新区
GO语言研发工程师,成都高新减灾研究所,成都-高新区,1.2-2.5万/月,06-19,12000.0,25000.0,四川省,成都,高新区
GO开发工程师,上海新炬网络信息技术股份有限公司...,上海-浦东新区,1.5-2万/月,06-19,15000.0,20000.0,上海市,上海,浦东新区
GO语言研发工程师,成都市美幻科技有限公司,成都,1.2-2.5万/月,06-19,12000.0,25000.0,四川省,成都,
GO开发工程师,杭州野乐科技有限公司,杭州-余杭区,0.6-1.5万/月,06-19,6000.0,15000.0,浙江省,杭州,余杭区
GO开发工程师,华信富融(苏州工业园区)软件有限公...,苏州,0.8-1.6万/月,06-19,8000.0,16000.0,江苏省,苏州,
GO FOR IT链家销售代表/应届实习/经纪人 LS,四川链家房地产经纪有限公司,成都,0.5-1.1万/月,06-19,5000.0,11000.0,四川省,成都,
1131BE-云存储GO开发工程师,平安科技（深圳）有限公司,成都-锦江区,1.5-2万/月,06-19,15000.0,20000.0,四川省,成都,锦江区
Go语言开发工程师,无锡九方科技有限公司,无锡-滨湖区,1-1.8万/月,06-19,10000.0,18000.0,江苏省,无锡,滨湖区
"Lets,go   销售代表\门店专员\就近5500 st",四川链家房地产经纪有限公司,成都-温江区,6-8千/月,06-19,6000.0,8000.0,四川省,成都,温江区
GO开发工程师,厦门呱牛网络科技有限公司,上海-闵行区,0.8-1.5万/月,06-19,8000.0,15000.0,上海市,上海,闵行区
go语言软件开发工程师,深圳市希科普股份有限公司,深圳-南山区,1-2万/月,06-19,10000.0,20000.0,广东省,深圳,南山区
GO开发工程师,上海有大信息科技有限公司,上海-浦东新区,1.5-2万/月,06-19,15000.0,20000.0,上海市,上海,浦东新区
GO开发工程师,北京万步健康科技有限公司,北京-海淀区,1-2万/月,06-19,10000.0,20000.0,北京市,北京,海淀区
C++/GO架构师,北京安德信业信息咨询有限责任公司...,北京-海淀区,4-6万/月,06-18,40000.0,60000.0,北京市,北京,海淀区
Go语言开发工程师-飞书,字节跳动,深圳,2-4万/月,06-18,20000.0,40000.0,广东省,深圳,
高级go开发工程师,珠海沙盒网络科技有限公司,珠海-珠海高新...,2-3万/月,06-18,20000.0,30000.0,广东省,珠海,珠海高新...
大数据开发工程师,中兴仪器（深圳）有限公司,西安-高新技术...,1-1.5万/月,06-19,10000.0,15000.0,陕西省,西安,高新技术...
技术支持工程师,深圳市宝德计算机系统有限公司,深圳-龙华新区,6-8千/月,06-19,6000.0,8000.0,广东省,深圳,龙华新区
前端开发,广州大洋教育科技股份有限公司,广州-番禺区,0.8-1.2万/月,06-19,8000.0,12000.0,广东省,广州,番禺区
Java开发工程师-HDQKL,深圳瀚德金融科技控股有限公司,深圳-南山区,1.5-2.3万/月,06-19,15000.0,23000.0,广东省,深圳,南山区
Python开发工程师,银盛科技服务集团有限公司,深圳-龙华新区,1.5-2万/月,06-19,15000.0,20000.0,广东省,深圳,龙华新区
