title,company,address,salery,date,salary_min,salary_max,provence,city,area
PHP开发工程师（2020届校园招聘）,青木数字技术股份有限公司,广州,5-8千/月,06-19,5000.0,8000.0,广东省,广州,
PHP开发工程师,中盛业（山东）智能科技有限公司,济南-槐荫区,0.7-1.2万/月,06-19,7000.0,12000.0,山东省,济南,槐荫区
PHP高级开发工程师,惠州市一匠科技有限公司,惠州,1-1.5万/月,06-19,10000.0,15000.0,广东省,惠州,
PHP高级开发（15-25K汉口）,博看网,武汉-江汉区,1.5-2.5万/月,06-19,15000.0,25000.0,湖北省,武汉,江汉区
PHP开发工程师,武汉泰乐奇信息科技有限公司,武汉-洪山区,1-1.5万/月,06-19,10000.0,15000.0,湖北省,武汉,洪山区
PHP开发工程师,优职优聘（大连）网络科技有限公司...,大连-中山区,4.5-6千/月,06-19,4500.0,6000.0,辽宁省,大连,中山区
PHP开发工程师（高级）,上海易念信息科技有限公司,上海-长宁区,1.5-2万/月,06-19,15000.0,20000.0,上海市,上海,长宁区
php技术主管,湖南细莫电子商贸有限公司,长沙-岳麓区,0.8-1万/月,06-19,8000.0,10000.0,湖南省,长沙,岳麓区
PHP开发工程师,武汉佰钧成技术有限责任公司,东莞-长安镇,1.5-2万/月,06-19,15000.0,20000.0,广东省,东莞,长安镇
PHP工程师,广东天图物流股份有限公司,广州,6-8千/月,06-19,6000.0,8000.0,广东省,广州,
PHP开发工程师（wed）,南昌光速科技有限公司,南昌-南昌县,0.6-1.1万/月,06-19,6000.0,11000.0,江西省,南昌,南昌县
PHP高级开发工程师,记忆空间（重庆）文化传播有限公司...,重庆-渝北区,1.2-1.5万/月,06-19,12000.0,15000.0,重庆市,重庆,渝北区
PHP开发工程师,广州市靓家居装饰材料有限公司,广州-天河区,0.8-1万/月,06-19,8000.0,10000.0,广东省,广州,天河区
搜索算法工程师（PHP）,深圳特鹏网络有限公司,深圳-龙华新区,1.4-1.8万/月,06-19,14000.0,18000.0,广东省,深圳,龙华新区
PHP开发工程师,深圳市力合微电子股份有限公司,深圳-南山区,1-2万/月,06-19,10000.0,20000.0,广东省,深圳,南山区
PHP开发工程师,长盛信息科技有限公司,广州-天河区,0.8-1.3万/月,06-19,8000.0,13000.0,广东省,广州,天河区
PHP开发工程师,广州慢慢来信息科技有限公司,广州-海珠区,6-8千/月,06-19,6000.0,8000.0,广东省,广州,海珠区
PHP开发实习生,深圳市启创东方科技有限公司,深圳-罗湖区,3-4千/月,06-19,3000.0,4000.0,广东省,深圳,罗湖区
PHP技术总监/架构师,广州慧亚传媒科技有限公司,广州,2-3.5万/月,06-19,20000.0,35000.0,广东省,广州,
PHP高级工程师,湛江市新家居广告传媒有限公司,湛江,6-8千/月,06-19,6000.0,8000.0,广东省,湛江,
后端开发程序员PHP,上海通泰化学有限公司,上海-徐汇区,1-1.5万/月,06-19,10000.0,15000.0,上海市,上海,徐汇区
PHP开发工程师,辽宁韩诚科技发展有限公司,沈阳,0.8-1万/月,06-19,8000.0,10000.0,辽宁省,沈阳,
PHP开发工程师,成都觅瑞科技有限公司,成都-高新区,0.8-1.2万/月,06-19,8000.0,12000.0,四川省,成都,高新区
PHP开发助理工程师,深圳前海沃尔科技有限公司,深圳-宝安区,6-8千/月,06-19,6000.0,8000.0,广东省,深圳,宝安区
PHP开发工程师,杭州孟德信息技术有限公司,杭州-萧山区,0.6-1万/月,06-19,6000.0,10000.0,浙江省,杭州,萧山区
PHP开发工程师,中山市喝吧网络科技有限公司,中山,0.8-1万/月,06-19,8000.0,10000.0,广东省,中山,
