title,company,address,salery,date,salary_min,salary_max,provence,city,area
python软件工程师,浙江大立科技股份有限公司,杭州-滨江区,0.8-1.5万/月,06-19,8000.0,15000.0,浙江省,杭州,滨江区
Python开发工程师-世纪福,科技城人才市场,苏州,1-2万/月,06-19,10000.0,20000.0,江苏省,苏州,
Python开发工程师,陕西云智汇谷创新科技有限公司,西安-碑林区,6-8千/月,06-19,6000.0,8000.0,陕西省,西安,碑林区
python开发经理,朗森特科技有限公司,上海-徐汇区,1.5-2.2万/月,06-19,15000.0,22000.0,上海市,上海,徐汇区
python后端开发工程师,苏州奇梦者网络科技有限公司,苏州-工业园区,1-1.5万/月,06-19,10000.0,15000.0,江苏省,苏州,工业园区
人工智能（Python方向）,郑州磐星网络科技有限公司,郑州-高新区,5.5-8千/月,06-19,5500.0,8000.0,河南省,郑州,高新区
中级Python开发工程师,上海犇众信息技术有限公司,上海-闵行区,1-1.5万/月,06-19,10000.0,15000.0,上海市,上海,闵行区
python爬虫开发工程师,深圳市易仓科技有限公司,深圳-南山区,1-1.8万/月,06-19,10000.0,18000.0,广东省,深圳,南山区
Python开发工程师,太极计算机股份有限公司,北京-朝阳区,1.3-2.3万/月,06-19,13000.0,23000.0,北京市,北京,朝阳区
Python开发工程师,安徽人本文化科技有限公司,芜湖-弋江区,6-8千/月,06-19,6000.0,8000.0,安徽省,芜湖,弋江区
Python开发工程师（英文）,上海伊库伊库网络科技有限公司,上海-徐汇区,1.8-3万/月,06-19,18000.0,30000.0,上海市,上海,徐汇区
Golang/python开发工程师（南京）,浩鲸云计算科技股份有限公司,南京-江宁区,1.8-3万/月,06-19,18000.0,30000.0,江苏省,南京,江宁区
网络爬虫工程师python,深圳市海臣网络有限公司,深圳-龙华新区,1.2-1.8万/月,06-19,12000.0,18000.0,广东省,深圳,龙华新区
Python初级开发,成都龙捷科技有限公司,深圳-南山区,0.6-1.2万/月,06-19,6000.0,12000.0,广东省,深圳,南山区
Python开发工程师,河南省曲速信息科技有限公司,郑州-高新区,4-7千/月,06-19,4000.0,7000.0,河南省,郑州,高新区
Python高级开发工程师,武汉云外恒信息技术有限公司,武汉-洪山区,1.5-2万/月,06-19,15000.0,20000.0,湖北省,武汉,洪山区
Python开发工程师,天津新智视讯技术股份有限公司,上海-嘉定区,1-1.5万/月,06-19,10000.0,15000.0,上海市,上海,嘉定区
Python开发工程师（南京）,深圳航天科创实业有限公司,南京,0.8-1万/月,06-19,8000.0,10000.0,江苏省,南京,
python架构师,深圳市宇航软件股份有限公司,深圳-龙岗区,3-4万/月,06-19,30000.0,40000.0,广东省,深圳,龙岗区
高级开发工程师（PHP/PYTHON/GO方向）,云南省人才服务中心,昆明,1-1.5万/月,06-19,10000.0,15000.0,云南省,昆明,
