address,area,city,company,date,salary_max,salary_min,salery,title,province
广州,NA,广州,广州博冠光电科技股份有限公司,06-19,16000.0,10000.0,1-1.6万/月,嵌入式软件工程师（蓝牙）,广东
北京,NA,北京,北京东方国信科技股份有限公司,06-19,40000.0,20000.0,2-4万/月,嵌入式软件工程师（WG1tx）(J12049),北京
上海,NA,上海,上海英威腾工业技术有限公司,06-19,30000.0,15000.0,1.5-3万/月,嵌入式软件工程师,上海
合肥-高新区,高新区,合肥,合肥英威晟光电科技有限公司,06-19,15000.0,10000.0,1-1.5万/月,嵌入式软件工程师,安徽
深圳-龙华新区,龙华新区,深圳,深圳市勤迈电子有限公司,06-19,15000.0,10000.0,1-1.5万/月,嵌入式软件工程师,广东
深圳-南山区,南山区,深圳,深圳市安车检测股份有限公司,06-19,18000.0,9000.0,0.9-1.8万/月,嵌入式软件工程师,广东
成都-高新区,高新区,成都,钛深科技（深圳）有限公司,06-19,20000.0,10000.0,1-2万/月,嵌入式软件工程师,四川
上海-奉贤区,奉贤区,上海,上海德朗能新能源有限公司,06-19,15000.0,10000.0,1-1.5万/月,嵌入式软件工程师,上海
上海,NA,上海,江苏爱朋医疗科技股份有限公司,06-19,26000.0,12000.0,1.2-2.6万/月,高级嵌入式软件工程师,上海
上海-闵行区,闵行区,上海,上海璐柯宏(罗格朗)电子有限公司,06-19,30000.0,15000.0,1.5-3万/月,高级嵌入式软件工程师（zigbee）,上海
东莞-大朗镇,大朗镇,东莞,广东翻天科技有限公司,06-19,23000.0,12000.0,1.2-2.3万/月,嵌入式软件工程师（电调驱动方向）,广东
成都-高新区,高新区,成都,江苏天诚智能集团,06-19,16000.0,11000.0,13.2-19.2万/年,嵌入式软件工程师,四川
深圳-南山区,南山区,深圳,深圳芯启航科技有限公司,06-19,20000.0,16000.0,1.6-2万/月,嵌入式软件工程师,广东
上海-闵行区,闵行区,上海,江苏威尔曼科技有限公司上海分公司...,06-19,20000.0,15000.0,1.5-2万/月,嵌入式软件工程师,上海
无锡-滨湖区,滨湖区,无锡,无锡先进技术研究院,06-19,16666.0,12500.0,15-20万/年,嵌入式软件工程师,江苏
上海-浦东新区,浦东新区,上海,宁波琻捷电子科技有限公司上海分公...,06-19,25000.0,12500.0,15-30万/年,SEN009 嵌入式软件工程师,上海
上海,NA,上海,上海锦督智能科技有限公司,06-19,15000.0,10000.0,1-1.5万/月,嵌入式软件工程师,上海
南京-雨花台区,雨花台区,南京,江苏新视云科技股份有限公司,06-19,30000.0,20000.0,2-3万/月,嵌入式软件工程师,江苏
宁波-鄞州区,鄞州区,宁波,金华市豪威电子科技有限公司,06-19,6000.0,3500.0,3.5-6千/月,嵌入式软件工程师(实习生),浙江
深圳-宝安区,宝安区,深圳,深圳市卓联启航科技有限公司,06-19,20000.0,15000.0,1.5-2万/月,嵌入式软件工程师,广东
杭州-滨江区,滨江区,杭州,滨江兄弟信息技术（杭州）有限公司...,06-19,13000.0,8000.0,0.8-1.3万/月,嵌入式软件工程师,浙江
无锡-滨湖区,滨湖区,无锡,无锡市同芯恒通科技有限公司,06-19,15000.0,10000.0,1-1.5万/月,嵌入式软件工程师,江苏
南京-江宁区,江宁区,南京,南京飞洋汽车电子有限责任公司,06-19,15000.0,10000.0,1-1.5万/月,嵌入式软件工程师,江苏
苏州,NA,苏州,苏州雅睿生物技术有限公司,06-19,10000.0,8000.0,0.8-1万/月,嵌入式软件工程师,江苏
深圳-宝安区,宝安区,深圳,深圳市智宝源电子科技有限公司,06-19,15000.0,10000.0,1-1.5万/月,嵌入式软件工程师,广东
深圳-南山区,南山区,深圳,深圳互由科技有限公司,06-19,15000.0,10000.0,1-1.5万/月,嵌入式软件工程师（MCU）,广东
济南,NA,济南,山东华博电气有限公司,06-19,15000.0,8000.0,0.8-1.5万/月,嵌入式软件工程师,山东
西安-雁塔区,雁塔区,西安,西安佐威光电科技有限公司,06-19,15000.0,10000.0,1-1.5万/月,嵌入式软件工程师,陕西
深圳-龙岗区,龙岗区,深圳,深圳市森威尔科技开发股份有限公司...,06-19,12000.0,10000.0,1-1.2万/月,嵌入式软件工程师,广东
广州,NA,广州,广州市康立明生物科技有限责任公司...,06-19,17000.0,12000.0,1.2-1.7万/月,嵌入式软件工程师,广东
珠海,NA,珠海,珠海朗尔电气有限公司,06-19,12000.0,8000.0,0.8-1.2万/月,嵌入式软件工程师,广东
深圳-宝安区,宝安区,深圳,深圳市也扬科技有限公司,06-19,16666.0,12500.0,15-20万/年,嵌入式软件工程师,广东
北京,NA,北京,龙芯中科技术有限公司,06-19,10000.0,8000.0,0.8-1万/月,嵌入式软件工程师,北京
成都-金牛区,金牛区,成都,中科芯集成电路有限公司,06-19,33333.0,12500.0,15-40万/年,嵌入式软件工程师（成都）,四川
上海-浦东新区,浦东新区,上海,图弘智能科技（上海）有限公司,06-19,18000.0,8000.0,0.8-1.8万/月,嵌入式软件工程师,上海
深圳-宝安区,宝安区,深圳,方洲照明（深圳）有限公司,06-19,25000.0,20000.0,2-2.5万/月,嵌入式软件工程师（蓝牙方向）,广东
西安-莲湖区,莲湖区,西安,天天充电,06-19,15000.0,8000.0,0.8-1.5万/月,嵌入式软件工程师,陕西
广州-海珠区,海珠区,广州,广东万城万充电动车运营股份有限公...,06-19,31000.0,25000.0,2.5-3.1万/月,嵌入式软件工程师,广东
