address,area,city,company,date,salary_max,salary_min,salery,title,province
杭州-滨江区,滨江区,杭州,浙江大立科技股份有限公司,06-19,15000.0,8000.0,0.8-1.5万/月,python软件工程师,浙江
苏州,NA,苏州,科技城人才市场,06-19,20000.0,10000.0,1-2万/月,Python开发工程师-世纪福,江苏
西安-碑林区,碑林区,西安,陕西云智汇谷创新科技有限公司,06-19,8000.0,6000.0,6-8千/月,Python开发工程师,陕西
上海-徐汇区,徐汇区,上海,朗森特科技有限公司,06-19,22000.0,15000.0,1.5-2.2万/月,python开发经理,上海
苏州-工业园区,工业园区,苏州,苏州奇梦者网络科技有限公司,06-19,15000.0,10000.0,1-1.5万/月,python后端开发工程师,江苏
郑州-高新区,高新区,郑州,郑州磐星网络科技有限公司,06-19,8000.0,5500.0,5.5-8千/月,人工智能（Python方向）,河南
上海-闵行区,闵行区,上海,上海犇众信息技术有限公司,06-19,15000.0,10000.0,1-1.5万/月,中级Python开发工程师,上海
深圳-南山区,南山区,深圳,深圳市易仓科技有限公司,06-19,18000.0,10000.0,1-1.8万/月,python爬虫开发工程师,广东
北京-朝阳区,朝阳区,北京,太极计算机股份有限公司,06-19,23000.0,13000.0,1.3-2.3万/月,Python开发工程师,北京
芜湖-弋江区,弋江区,芜湖,安徽人本文化科技有限公司,06-19,8000.0,6000.0,6-8千/月,Python开发工程师,安徽
上海-徐汇区,徐汇区,上海,上海伊库伊库网络科技有限公司,06-19,30000.0,18000.0,1.8-3万/月,Python开发工程师（英文）,上海
南京-江宁区,江宁区,南京,浩鲸云计算科技股份有限公司,06-19,30000.0,18000.0,1.8-3万/月,Golang/python开发工程师（南京）,江苏
深圳-龙华新区,龙华新区,深圳,深圳市海臣网络有限公司,06-19,18000.0,12000.0,1.2-1.8万/月,网络爬虫工程师python,广东
深圳-南山区,南山区,深圳,成都龙捷科技有限公司,06-19,12000.0,6000.0,0.6-1.2万/月,Python初级开发,广东
郑州-高新区,高新区,郑州,河南省曲速信息科技有限公司,06-19,7000.0,4000.0,4-7千/月,Python开发工程师,河南
武汉-洪山区,洪山区,武汉,武汉云外恒信息技术有限公司,06-19,20000.0,15000.0,1.5-2万/月,Python高级开发工程师,湖北
上海-嘉定区,嘉定区,上海,天津新智视讯技术股份有限公司,06-19,15000.0,10000.0,1-1.5万/月,Python开发工程师,上海
南京,NA,南京,深圳航天科创实业有限公司,06-19,10000.0,8000.0,0.8-1万/月,Python开发工程师（南京）,江苏
深圳-龙岗区,龙岗区,深圳,深圳市宇航软件股份有限公司,06-19,40000.0,30000.0,3-4万/月,python架构师,广东
武汉,NA,武汉,深圳市易佰网络科技有限公司武汉分...,06-19,15000.0,10000.0,1-1.5万/月,Python开发工程师,湖北
北京-大兴区,大兴区,北京,中金智汇科技有限责任公司,06-19,20000.0,10000.0,1-2万/月,后端开发工程师（Python方向）,北京
北京,NA,北京,北京安德医智科技有限公司,06-19,18000.0,10000.0,1-1.8万/月,Python开发工程师,北京
西安-高新技术...,高新技术...,西安,上海轩田工业设备有限公司,06-19,15000.0,10000.0,1-1.5万/月,Python高级开发工程师,陕西
惠州,NA,惠州,东莞市童程童美信息科技有限公司,06-19,15000.0,10000.0,1-1.5万/月,少儿编程讲师+python乐高,广东
深圳-龙华新区,龙华新区,深圳,深圳赢领通科技有限公司,06-19,30000.0,20000.0,2-3万/月,Python开发工程师,广东
贵阳,NA,贵阳,贵阳市南明区小码教育培训中心有限...,06-19,10000.0,8000.0,0.8-1万/月,c++/python讲师+五险一金,贵州
上海-静安区,静安区,上海,亿翰智库,06-19,25000.0,20000.0,2-2.5万/月,高级Python算法工程师,上海
深圳-南山区,南山区,深圳,深圳盛思教育咨询有限公司,06-19,10000.0,8000.0,0.8-1万/月,少儿编程Python讲师,广东
无锡,NA,无锡,松下信息系統（上海）有限公司,06-19,15000.0,8000.0,0.8-1.5万/月,Python开发工程师,江苏
北京-朝阳区,朝阳区,北京,北京三六九数动科技有限公司,06-19,15000.0,10000.0,1-1.5万/月,Python 工程师,北京
广州-天河区,天河区,广州,广州优飞信息科技有限公司,06-19,16000.0,6000.0,0.6-1.6万/月,Python开发工程师,广东
北京,NA,北京,北京天行汇通信息技术有限公司,06-19,20000.0,10000.0,1-2万/月,软件测试工程师（C++、java、python）,北京
上海-普陀区,普陀区,上海,上海欧普泰科技创业股份有限公司,06-19,10000.0,8000.0,0.8-1万/月,Python后端研发工程师,上海
上海-浦东新区,浦东新区,上海,小水滴科技,06-19,20000.0,15000.0,1.5-2万/月,Python开发工程师,上海
深圳-福田区,福田区,深圳,傲讯全通科技（深圳）有限公司,06-19,18000.0,9000.0,0.9-1.8万/月,高级软件工程师(Python),广东
深圳,NA,深圳,深圳众禄基金销售股份有限公司,06-19,25000.0,15000.0,1.5-2.5万/月,python（web）,广东
郑州-金水区,金水区,郑州,卡巴Kabba（郑州）青少年教育,06-19,8000.0,6000.0,6-8千/月,少儿编程老师-Python,河南
郑州-高新区,高新区,郑州,郑州百尚网络科技有限公司,06-19,8000.0,5000.0,5-8千/月,人工智能开发（Python方向）,河南
上海,NA,上海,上海财联社金融科技有限公司,06-19,10000.0,7000.0,0.7-1万/月,Python开发工程师,上海
上海-长宁区,长宁区,上海,繁翰信息技术（上海）有限公司,06-19,30000.0,20000.0,2-3万/月,高级Python研发工程师,上海
上海,NA,上海,北京汉克时代科技有限公司,06-19,20000.0,15000.0,1.5-2万/月,Python后端开发工程师,上海
广州-海珠区,海珠区,广州,广东优德科技有限公司,06-19,10000.0,5000.0,0.5-1万/月,Python WEB 工程师,广东
深圳-龙华新区,龙华新区,深圳,深圳市卖家成长网络科技有限公司,06-19,20000.0,12000.0,1.2-2万/月,高级python爬虫工程师,广东
深圳,NA,深圳,深圳市天泰国际航空旅行社有限公司...,06-19,40000.0,20000.0,2-4万/月,Python高级开发工程师,广东
南京-秦淮区,秦淮区,南京,联通物联网有限责任公司,06-19,31500.0,17500.0,21-37.8万/年,软件开发（C或Python开发）岗,江苏
广州,NA,广州,广州中长康达信息技术有限公司,06-18,11000.0,8000.0,0.8-1.1万/月,Python开发工程师,广东
上海-静安区,静安区,上海,国动网络技术有限公司,06-18,25000.0,15000.0,1.5-2.5万/月,软件开发工程师（GO/Lua/python）,上海
广州,NA,广州,广州国交润万交通信息有限公司,06-18,15000.0,10000.0,1-1.5万/月,Python开发工程师,广东
深圳-南山区,南山区,深圳,深圳市火花幻境互动娱乐有限公司,06-18,50000.0,25000.0,2.5-5万/月,python开发主程,广东
深圳,NA,深圳,深圳市网安计算机安全检测技术有限...,06-18,15000.0,10000.0,1-1.5万/月,Python开发工程师,广东
上海-杨浦区,杨浦区,上海,上海全卫物业管理有限公司,06-18,15000.0,10000.0,1-1.5万/月,python开发工程师,上海
杭州-余杭区,余杭区,杭州,江苏茂丰人力资源管理有限公司,06-18,15000.0,10000.0,1-1.5万/月,Python开发工程师,浙江
大连,NA,大连,大连亚丁科技有限公司,06-18,4500.0,3000.0,3-4.5千/月,急聘python开发助理,辽宁
武汉-洪山区,洪山区,武汉,汉谷云智（武汉）科技有限公司,06-18,15000.0,7000.0,0.7-1.5万/月,软件开发主管（python）,湖北
成都-双流区,双流区,成都,杭州深绘智能科技有限公司,06-18,15000.0,10000.0,1-1.5万/月,Python开发工程师,四川
武汉-洪山区,洪山区,武汉,“前程无忧”51job.com（光谷）,06-18,8333.0,6666.0,8-10万/年,python开发工程师,湖北
深圳,NA,深圳,晤桥亚洲资产管理咨询与软件有限公...,06-18,12000.0,7000.0,0.7-1.2万/月,Python数据分析师,广东
杭州-西湖区,西湖区,杭州,杭州泉溪视维软件有限公司,06-18,4500.0,3000.0,3-4.5千/月,直聘python开发,浙江
北京-海淀区,海淀区,北京,北京棣南新宇科技有限公司,06-18,20000.0,15000.0,1.5-2万/月,Python高级开发工程师,北京
杭州,NA,杭州,北京联创智融信息技术有限公司,06-18,15000.0,10000.0,1-1.5万/月,python中级开发工程师（银行前置方向）,浙江
上海-闵行区,闵行区,上海,中亘兰谷安全科技（上海）有限公司...,06-18,20000.0,12000.0,1.2-2万/月,Python开发工程师,上海
上海,NA,上海,上海蜜度信息技术有限公司,06-18,20000.0,15000.0,1.5-2万/月,python高级爬虫工程师,上海
北京-朝阳区,朝阳区,北京,上海天玑科技股份有限公司,06-18,15000.0,8000.0,0.8-1.5万/月,Python开发工程师,北京
福州-晋安区,晋安区,福州,福建中企移动技术有限公司,06-18,10000.0,4000.0,0.4-1万/月,python研发工程师,福建
上海-浦东新区,浦东新区,上海,万宝盛华企业管理咨询（上海）有限...,06-18,15000.0,10000.0,12-18万/年,上市医药公司 Python开发工程师,上海
重庆-渝北区,渝北区,重庆,重庆维普资讯有限公司,06-18,12000.0,6000.0,0.6-1.2万/月,中级软件工程师(Python),重庆
西安-高新技术...,高新技术...,西安,西安易光年电子商务有限公司,06-18,15000.0,8000.0,0.8-1.5万/月,Python,陕西
昆明-官渡区,官渡区,昆明,云南远信科技有限公司,06-18,8000.0,4000.0,4-8千/月,YX00-Python开发工程师,云南
石家庄,NA,石家庄,河北华糖云商营销传播股份有限公司...,06-18,10000.0,6000.0,0.6-1万/月,python爬虫工程师（五险一金）,河北
深圳-龙岗区,龙岗区,深圳,深圳市三锐联合科技有限公司,06-18,20000.0,8000.0,0.8-2万/月,Python开发工程师,广东
深圳-龙华新区,龙华新区,深圳,长沙市校管家教育科技有限公司,06-18,29000.0,18000.0,1.8-2.9万/月,Python高级开发工程师,广东
沈阳-浑南区,浑南区,沈阳,沈阳多码斯信息技术有限公司,06-18,8000.0,4500.0,4.5-8千/月,python开发工程师,辽宁
青岛,NA,青岛,青岛迈科思软件有限责任公司,06-18,6000.0,4500.0,4.5-6千/月,java人工智能（python)开发签约实习生,山东
苏州-工业园区,工业园区,苏州,苏州锐讯生物科技有限公司,06-18,20000.0,10000.0,1-2万/月,高级Python软件工程师,江苏
上海-徐汇区,徐汇区,上海,上海牵翼网络科技有限公司,06-18,8000.0,7000.0,7-8千/月,Python开发工程师,上海
大连,NA,大连,亿达信息技术有限公司,06-18,12000.0,6000.0,0.6-1.2万/月,Python开发工程师,辽宁
杭州-西湖区,西湖区,杭州,杭州明玛网络科技有限公司,06-18,4500.0,3000.0,3-4.5千/月,Python开发实习生,浙江
宁波,NA,宁波,浙江房洽洽网络科技有限公司,06-18,15000.0,8000.0,0.8-1.5万/月,PHP高级程序员(python程序员）,浙江
深圳-龙华新区,龙华新区,深圳,深圳众芳信息有限公司,06-18,15000.0,8000.0,0.8-1.5万/月,Python开发工程师,广东
广州-天河区,天河区,广州,广东中思拓大数据研究院有限公司,06-18,16666.0,12500.0,15-20万/年,Python工程师,广东
深圳-南山区,南山区,深圳,宏兆集团,06-18,15000.0,8000.0,0.8-1.5万/月,Python开发工程师,广东
南京,NA,南京,福建新大陆软件工程有限公司,06-18,12000.0,6000.0,0.6-1.2万/月,软件开发中级工程师（Python）,江苏
银川,NA,银川,宁夏博强智能科技有限公司,06-18,10000.0,8000.0,0.8-1万/月,Python高级开发工程师,宁夏
成都-青羊区,青羊区,成都,深圳市风云实业有限公司,06-18,15000.0,8000.0,0.8-1.5万/月,Python开发工程师,四川
宁波-鄞州区,鄞州区,宁波,浙江一舟电子科技股份有限公司,06-18,12500.0,8333.0,10-15万/年,Python开发工程师,浙江
海口,NA,海口,东营米文网络科技有限公司,06-18,15000.0,8000.0,0.8-1.5万/月,python大数据分析工程师,海南
武汉-洪山区,洪山区,武汉,武汉赛维尔生物科技有限公司,06-18,15000.0,10000.0,1-1.5万/月,python大数据工程师,湖北
杭州,NA,杭州,浙江迈睿机器人有限公司,06-18,15000.0,10000.0,1-1.5万/月,Python开发工程师,浙江
广州,NA,广州,海南君莱药业有限公司,06-19,18000.0,12000.0,1.2-1.8万/月,Python高级工程师/工程师,广东
中山,NA,中山,深圳君拓科技有限公司,06-18,25000.0,15000.0,1.5-2.5万/月,Python开发工程师,广东
珠海-斗门区,斗门区,珠海,珠海市精实测控技术有限公司,06-18,12000.0,8000.0,0.8-1.2万/月,Python工程师,广东
